rooms,halls,size,direction,height,decoration,unit_price,price
2,1,50.26,南,高,简,33824,170
1,1,53.82,南北,低,中,44593,240
2,1,61.01,南北,低,中,54089,330
2,1,52.03,南北,中,简,49971,260
2,1,46.6,南,中,,107296,500
3,1,111.7,南北,中,,115040,1285
1,1,51.41,南,低,,62828,323
1,1,49,南北,高,豪,66531,326
2,1,56.45,南北,低,简,55802,315
2,1,58.3,南北,高,中,79931,466
2,1,61.15,南北,中,,49060,300
2,1,50.9,西,低,精,48134,245
2,1,86.14,东南,低,,55723,480
2,1,93.83,西南,中,精,58084,545
2,1,78.45,西南,中,中,51625,405
2,1,85.75,南北,中,精,35219,302
2,1,86.93,南北,中,中,35661,310
2,1,76.88,南北,低,简,53070,408
2,1,81.78,南北,中,精,60651,496
2,1,77.32,西南,低,中,61433,475
2,1,69.38,东南,中,精,64572,448
3,1,92.33,西南,中,中,114914,1061
2,1,52.97,南北,中,精,72305,383
3,2,138.46,东南,中,精,86668,1200
3,1,98.9,东西,高,中,55106,545
3,1,107.26,南北,低,简,80179,860
2,1,61.6,南北,中,精,66558,410
3,1,71.97,南北,中,简,86147,620
2,1,60.4,南北,中,简,124172,750
2,1,70.29,南北,低,中,49794,350
2,1,61.01,南北,低,中,54089,330
2,1,86.14,东南,低,,55723,480
2,1,93.83,西南,中,精,58084,545
2,1,69.38,东南,中,精,64572,448
2,1,52.97,南北,中,精,72305,383
3,2,138.46,东南,中,精,86668,1200
3,1,107.26,南北,低,简,80179,860
2,1,72.94,南,高,中,56896,415
3,1,97.74,东北,高,精,66503,650
3,2,120.82,南北,高,精,59510,719
2,1,63.93,南北,高,精,78054,499
2,1,56.73,南北,中,精,73154,415
3,1,76.04,西北,高,中,51946,395
2,1,79.06,东北,中,,50468,399
2,1,75.03,南北,低,,61975,465
2,1,76.46,西南,高,中,53623,410
2,1,63.84,东北,高,,67356,430
3,1,68.94,东北,低,,66725,460
2,1,73.6,南,高,,84918,625
2,2,97.78,南北,低,精,56760,555
2,2,83.72,南北,高,精,52556,440
2,2,110.6,南北,低,精,58770,650
2,1,88.03,东,低,,56799,500
1,1,49.47,南,低,,46493,230
3,1,73.39,南北,低,,58591,430
3,1,91.4,南北,中,中,57440,525
1,1,53.79,南北,低,,37182,200
2,1,56.37,南北,低,,46124,260
1,1,52.28,南,低,中,56427,295
2,1,62.33,南北,高,,57757,360
1,1,37.5,南,中,,77333,290
3,1,101.1,南北,高,,46983,475
3,1,82.31,西南,中,,68035,560
2,1,59.51,西南,低,简,60998,363
2,1,70.97,西南,高,中,46499,330
1,1,51.18,东,中,,41618,213
2,1,54.17,东西,低,中,77534,420
3,1,120.9,南北,中,,49628,600
2,1,58.72,南北,中,简,68120,400
3,1,87.33,南北,中,中,77866,680
2,1,56.37,南北,低,简,53220,300
2,1,64.29,南北,中,精,50552,325
1,1,46.92,南,低,,59676,280
2,1,65.57,西南,高,,39652,260
1,1,45.96,西南,高,中,60923,280
2,1,66.96,南北,高,,53017,355
2,1,93.1,西北,低,,66595,620
2,1,57.73,南北,高,,57163,330
2,1,59.46,东南,中,中,67272,400
2,1,57.01,南北,高,,78934,450
3,1,77.34,南北,低,简,81458,630
1,2,50.28,西,中,精,77566,390
2,1,64.58,南北,中,简,50325,325
2,1,55.39,南,中,精,69507,385
3,1,56.75,南北,中,中,67313,382
2,1,58.92,南北,低,中,61948,365
2,1,88.08,西南,中,精,40872,360
2,1,76.6,东北,中,中,75065,575
2,1,58.19,南,高,简,61007,355
1,1,41.42,南北,中,精,66393,275
3,1,115.61,南北,低,中,74388,860
2,2,109.79,西南,低,精,66491,730
2,1,62.66,东北,低,简,70220,440
2,1,55.92,南,中,精,51860,290
2,1,63.87,东南,高,简,68107,435
2,1,88.41,西南,高,中,57912,512
2,2,116.71,东,低,精,64262,750
3,1,108.04,东北,高,精,60718,656
2,2,115.06,南北,低,中,44585,513
2,1,107.11,南北,低,精,49482,530
3,1,94.35,东北,高,简,66773,630
2,1,75.2,南北,高,精,79787,600
3,1,87.7,南北,中,中,50741,445
2,1,64.95,南北,中,精,84681,550
3,1,94.54,南北,低,简,66638,630
2,1,76.53,东,中,,47040,360
2,1,84.2,南北,中,,72447,610
1,2,49.6,东,低,,77621,385
2,1,63.52,南北,中,,62972,400
2,2,99.14,西,低,,62538,620
2,1,54.25,南北,中,精,73364,398
3,1,89.08,南北,中,,72070,642
2,1,78.12,东南,中,,46083,360
2,1,93.24,东南,高,,49335,460
3,2,101.29,南北,低,,43933,445
2,1,61.97,南北,高,精,75520,468
3,1,71.51,东南,高,精,71878,514
2,1,56.62,南北,中,,51219,290
1,1,72.66,东,高,精,53399,388
1,1,72.85,东南,高,,70007,510
2,1,54.48,南北,高,精,64244,350
2,1,71.19,南北,高,,70235,500
2,1,66.94,西北,低,精,61996,415
2,1,76.6,西北,低,,53786,412
2,1,79.78,西南,中,简,52645,420
3,2,141.23,西,高,,58769,830
1,1,67.13,东,低,,58841,395
2,1,58.05,南北,高,,58570,340
2,2,94.87,南北,低,,73785,700
